Description:,"Celsius-based heating degree days for a base temperature of 18.0C"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Geneve-Cointrin, CH (6.13E,46.25N)"
Station ID:,"LSGG"

Date,HDD,% Estimated
2015-09-17,2.9,0
2015-09-18,3.6,0
2015-09-19,5.1,0
2015-09-20,4.3,0
2015-09-21,5.6,0
2015-09-22,4.4,0
2015-09-23,6.7,0
2015-09-24,5.7,0
2015-09-25,5.7,0
2015-09-26,5.6,0
2015-09-27,4.2,0
2015-09-28,4.8,0
2015-09-29,6.6,0
2015-09-30,7.9,0
2015-10-01,6.9,0
2015-10-02,6.9,0
2015-10-03,5.7,0
2015-10-04,5.3,0
2015-10-05,3.5,0
2015-10-06,3.9,0
2015-10-07,4.9,0
2015-10-08,7.7,0
2015-10-09,6.2,0
2015-10-10,7.1,0
2015-10-11,5.2,0
2015-10-12,6.9,0
2015-10-13,6.6,0
2015-10-14,11.7,0
2015-10-15,11.9,0
2015-10-16,11.4,0
2015-10-17,10.9,0
2015-10-18,8.9,0
2015-10-19,8.7,0
2015-10-20,9.7,0
2015-10-21,9.3,0
2015-10-22,11,0
2015-10-23,8.2,0
2015-10-24,7.7,0
2015-10-25,7.3,0
2015-10-26,9.1,0
2015-10-27,8.1,0
2015-10-28,8.3,0
2015-10-29,8,0
2015-10-30,8.5,0
2015-10-31,9.1,0
2015-11-01,9.3,0
2015-11-02,10.5,0
2015-11-03,10.2,0
2015-11-04,9.6,0
2015-11-05,9.6,0
2015-11-06,8.1,0
2015-11-07,7.8,0
2015-11-08,8.2,0
2015-11-09,7.5,0
2015-11-10,8.2,0
2015-11-11,10.5,0
2015-11-12,10,0
2015-11-13,9.8,0
2015-11-14,9.2,0
2015-11-15,9.2,0
2015-11-16,10.1,0
2015-11-17,7.6,0
2015-11-18,6.1,0
2015-11-19,6,0
2015-11-20,5,0
2015-11-21,13.2,0
2015-11-22,16.2,0
2015-11-23,17.2,0
2015-11-24,16.9,0
2015-11-25,15.2,0
2015-11-26,13.8,0
2015-11-27,14.8,0
2015-11-28,16.4,0
2015-11-29,15,0
2015-11-30,10,0
2015-12-01,11.4,0
2015-12-02,16,0
2015-12-03,16.2,0
2015-12-04,15.5,0
2015-12-05,13.7,0
2015-12-06,13.4,0
2015-12-07,13.7,0
2015-12-08,13.8,0
2015-12-09,12.5,0
2015-12-10,15.5,0
2015-12-11,15.1,0
2015-12-12,16.5,0
2015-12-13,17.2,0
2015-12-14,15.1,0
2015-12-15,15.8,0
2015-12-16,12,0
2015-12-17,13.9,0
2015-12-18,13.3,0
2015-12-19,13.8,0
2015-12-20,12.8,0
2015-12-21,8.7,0
2015-12-22,11.4,0
2015-12-23,10.2,0
2015-12-24,11,0
2015-12-25,12.4,0
2015-12-26,14.9,0
2015-12-27,17,0
2015-12-28,16.9,0
2015-12-29,16.6,0
2015-12-30,14.2,0
2015-12-31,12.2,0
2016-01-01,12.3,0
2016-01-02,12.8,0
2016-01-03,14,0
2016-01-04,11.7,0
2016-01-05,11.7,1
2016-01-06,13.3,0
2016-01-07,12.7,0
2016-01-08,12.3,0
2016-01-09,10.8,0
2016-01-10,10.9,0
2016-01-11,9.9,0
2016-01-12,12,0
2016-01-13,14.8,0
2016-01-14,17.9,0
2016-01-15,16,0
2016-01-16,17,0
2016-01-17,18.9,0
2016-01-18,20.7,0
2016-01-19,18.5,0
2016-01-20,15.7,0
2016-01-21,15.4,0
2016-01-22,15.9,0
2016-01-23,13.3,0
2016-01-24,15.3,0
2016-01-25,15.1,0
2016-01-26,14.5,0
2016-01-27,13.7,0
2016-01-28,9.8,0
2016-01-29,8.9,0
2016-01-30,10.2,0
2016-01-31,8.8,0
2016-02-01,7.9,0
2016-02-02,9.7,0
2016-02-03,12,0
2016-02-04,14.9,0
2016-02-05,14.1,0
2016-02-06,13.7,0
2016-02-07,12.4,0
2016-02-08,11,0
2016-02-09,9.3,0
2016-02-10,15,0
2016-02-11,16.7,0
2016-02-12,16.7,0
2016-02-13,11.6,0
2016-02-14,11.8,0
2016-02-15,15.4,0
2016-02-16,14.7,0
2016-02-17,14.6,0
2016-02-18,13,0
2016-02-19,13.8,0
2016-02-20,14.7,0
2016-02-21,7.6,0
2016-02-22,9.1,0
2016-02-23,10.2,0
2016-02-24,15.7,0
2016-02-25,12.3,0
2016-02-26,14.9,0
2016-02-27,14.2,0
2016-02-28,13.4,0
2016-02-29,13.1,0
2016-03-01,12.9,0
2016-03-02,12.7,0
2016-03-03,15.6,0
2016-03-04,15,0
2016-03-05,14.1,0
2016-03-06,15.6,0
2016-03-07,16.7,0
2016-03-08,16.1,0
2016-03-09,16.4,0
2016-03-10,14.2,0
2016-03-11,13.4,0
2016-03-12,13.2,0
2016-03-13,11.9,0
2016-03-14,13.1,0
2016-03-15,14,0
2016-03-16,15,0
2016-03-17,13.5,0
2016-03-18,12.1,0
2016-03-19,11.5,0
2016-03-20,11.1,0
2016-03-21,10.8,0
2016-03-22,11.1,0
2016-03-23,10,0
2016-03-24,10,0
2016-03-25,11.3,0
2016-03-26,9.6,0
2016-03-27,10.1,0
2016-03-28,10.7,0
2016-03-29,5.9,0
2016-03-30,4.3,0
2016-03-31,5.8,0
2016-04-01,5.9,0
2016-04-02,7.1,0
2016-04-03,5.7,0
2016-04-04,6.3,0
2016-04-05,6.9,0
2016-04-06,6.1,0
2016-04-07,9.3,0
2016-04-08,12.3,0
2016-04-09,10.8,0
2016-04-10,9.4,0
2016-04-11,7.8,0
2016-04-12,4.3,0
2016-04-13,6.3,0
2016-04-14,6.2,0
2016-04-15,5,0
2016-04-16,3.8,0
2016-04-17,7,0
2016-04-18,11.5,0
2016-04-19,9.1,0
2016-04-20,7.5,0
2016-04-21,4.2,0
2016-04-22,3,0
2016-04-23,6.9,0
2016-04-24,10.9,0
2016-04-25,12.1,0
2016-04-26,9.8,0
2016-04-27,11.7,0
2016-04-28,11.2,0
2016-04-29,8.9,0
2016-04-30,10.4,0
2016-05-01,11.3,0
2016-05-02,7.2,0
2016-05-03,7.9,0
2016-05-04,7.2,0
2016-05-05,7,0
2016-05-06,4.9,0
2016-05-07,3.5,0
2016-05-08,2.8,0
2016-05-09,1.9,0
2016-05-10,1.7,0
2016-05-11,3,0
2016-05-12,5,0
2016-05-13,6.1,0
2016-05-14,4.8,0
2016-05-15,7.2,0
2016-05-16,8.2,0
2016-05-17,5.5,0
2016-05-18,5.3,0
2016-05-19,7.4,0
2016-05-20,6,0
2016-05-21,3.8,0
2016-05-22,2.7,0
2016-05-23,8.3,0
2016-05-24,6.3,0
2016-05-25,6.1,0
2016-05-26,3.5,0
2016-05-27,1.7,0
2016-05-28,0.7,0
2016-05-29,2,0
2016-05-30,3.6,0
2016-05-31,4.2,0
2016-06-01,3.5,0
2016-06-02,3.4,0
2016-06-03,2.7,0
2016-06-04,1.9,0
2016-06-05,1.9,0
2016-06-06,1.9,0
2016-06-07,1.1,0
2016-06-08,1.6,0
2016-06-09,1.8,0
2016-06-10,2,0
2016-06-11,1.5,0
2016-06-12,2.2,0
2016-06-13,2.4,0
2016-06-14,2.4,0
2016-06-15,2.2,0
2016-06-16,4,0
2016-06-17,3.6,0
2016-06-18,2.7,0
2016-06-19,3.4,0
2016-06-20,2.9,0
2016-06-21,1.6,0
2016-06-22,1.2,0
2016-06-23,0.1,0
2016-06-24,0,0
2016-06-25,0,0
2016-06-26,1.5,0
2016-06-27,1.4,0
2016-06-28,1.4,0
2016-06-29,0.1,0
2016-06-30,0,0
2016-07-01,0.4,0
2016-07-02,0.4,0
2016-07-03,2.4,0
2016-07-04,1.5,0
2016-07-05,0.6,0
2016-07-06,0.8,0
2016-07-07,0.9,0
2016-07-08,0.5,0
2016-07-09,0.1,0
2016-07-10,0.2,0
2016-07-11,0,0
2016-07-12,0.7,0
2016-07-13,3,0
2016-07-14,4.4,0
2016-07-15,3.6,0
2016-07-16,1.5,0
2016-07-17,1.2,0
2016-07-18,0.9,0
2016-07-19,0.4,0
2016-07-20,0.3,0
2016-07-21,0,0
2016-07-22,0,0
2016-07-23,0.1,0
2016-07-24,0.5,0
2016-07-25,0.1,0
2016-07-26,0.2,0
2016-07-27,0,0
2016-07-28,0.7,0
2016-07-29,0.7,0
2016-07-30,0.3,0
2016-07-31,0,0
2016-08-01,1,0
2016-08-02,1,0
2016-08-03,0.4,0
2016-08-04,1.1,0
2016-08-05,1.3,0
2016-08-06,2.1,0
2016-08-07,0.9,0
2016-08-08,1.3,0
2016-08-09,0.4,0
2016-08-10,2.8,0
2016-08-11,3.1,0
2016-08-12,2.1,0
2016-08-13,1.5,0
2016-08-14,0.9,0
2016-08-15,0.5,0
2016-08-16,0.5,0
2016-08-17,0.7,0
2016-08-18,0.2,0
2016-08-19,0.6,0
2016-08-20,0.3,0
2016-08-21,1.7,0
2016-08-22,2.9,0
2016-08-23,1.6,0
2016-08-24,0.8,0
2016-08-25,0.3,0
2016-08-26,0.2,0
2016-08-27,0,0
2016-08-28,0.1,0
2016-08-29,0,0
2016-08-30,0.7,0
2016-08-31,0.5,0
2016-09-01,0.8,0
2016-09-02,1,0
2016-09-03,0.9,0
2016-09-04,1.1,0
2016-09-05,0.4,0
2016-09-06,0.2,0
2016-09-07,1.1,0
2016-09-08,1.2,0
2016-09-09,0.6,0
2016-09-10,1,0
2016-09-11,0.5,0
2016-09-12,0.3,0
2016-09-13,0.6,0
2016-09-14,0.3,0
2016-09-15,0.3,0
2016-09-16,3,0
2016-09-17,4.4,0
2016-09-18,5,0
2016-09-19,3,0
